2017-09-07 20:48:19 INFO  DistriOptimizer$:717 - caching training rdd ...
2017-09-07 20:48:57 INFO  DistriOptimizer$:295 - [Epoch 4 27600/32561][Iteration 108][Wall Clock 24.931444952s] Train 1200 in 0.074301455seconds. Throughput is 16150.425 records/second. Loss is 0.3781022. 
2017-09-07 20:48:57 INFO  DistriOptimizer$:295 - [Epoch 4 28800/32561][Iteration 109][Wall Clock 25.005746407s] Train 1200 in 0.083103021seconds. Throughput is 14439.908 records/second. Loss is 0.37262025. 
2017-09-07 20:48:57 INFO  DistriOptimizer$:295 - [Epoch 4 30000/32561][Iteration 110][Wall Clock 25.088849428s] Train 1200 in 0.0886704seconds. Throughput is 13533.265 records/second. Loss is 0.38042864. 
2017-09-07 20:48:57 INFO  DistriOptimizer$:295 - [Epoch 4 31200/32561][Iteration 111][Wall Clock 25.177519828s] Train 1200 in 0.074529142seconds. Throughput is 16101.085 records/second. Loss is 0.3772318. 
2017-09-07 20:48:57 INFO  DistriOptimizer$:295 - [Epoch 4 32400/32561][Iteration 112][Wall Clock 25.25204897s] Train 1200 in 0.081193042seconds. Throughput is 14779.591 records/second. Loss is 0.39987788. 
2017-09-07 20:48:57 INFO  DistriOptimizer$:338 - [Epoch 4 32400/32561][Iteration 112][Wall Clock 25.25204897s] Epoch finished. Wall clock time is 25759.968177ms
2017-09-07 20:48:57 INFO  DistriOptimizer$:587 - [Wall Clock 25.759968177s] Validate model...
2017-09-07 20:48:57 INFO  DistriOptimizer$:629 - Top1Accuracy is Accuracy(correct: 13374, count: 16281, accuracy: 0.8214483139856275)
2017-09-07 20:48:57 INFO  DistriOptimizer$:629 - Loss is (Loss: 127.175224, count: 336, Average Loss: 0.3784977)
2017-09-07 20:48:57 INFO  DistriOptimizer$:295 - [Epoch 5 0/32561][Iteration 113][Wall Clock 25.759968177s] Train 1200 in 0.088585223seconds. Throughput is 13546.277 records/second. Loss is 0.39072725. 
